HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458307.48028,2018-07-07.9761718,bp,1.52,99.990,99.990,99.990,99.990,99.990,g
2458307.48150,2018-07-07.9773880,bp,1.49,17.740,17.231,0.137,0.466,0.058,g
2458307.48272,2018-07-07.9786031,bp,1.51,17.800,17.140,0.119,0.506,0.055,g
2458308.48059,2018-07-08.9764217,bp,1.50,17.776,17.195,0.128,0.481,0.056,g
2458308.48180,2018-07-08.9776394,bp,1.47,17.622,16.918,0.115,0.620,0.065,g
2458308.48301,2018-07-08.9788525,bp,1.45,17.655,17.042,0.125,0.553,0.063,g
2458312.01413,2018-07-12.5098035,bd,1.41,17.146,16.819,0.162,0.718,0.106,V
2458312.01540,2018-07-12.5110726,bd,1.41,17.026,16.607,0.149,0.873,0.119,V
2458312.01668,2018-07-12.5123475,bd,1.41,17.145,16.780,0.157,0.744,0.106,V
2458313.74711,2018-07-14.2427077,bl,1.59,17.658,17.266,0.153,0.450,0.063,g
2458313.74833,2018-07-14.2439284,bl,1.59,17.523,>17.523,99.990,0.348,0.071,g
2458313.74955,2018-07-14.2451479,bl,1.60,17.608,17.214,0.152,0.473,0.066,g
2458316.83118,2018-07-17.3266585,bd,1.99,16.919,16.572,0.159,0.902,0.131,V
2458316.83248,2018-07-17.3279585,bd,2.05,16.801,16.560,0.176,0.912,0.146,V
2458316.83376,2018-07-17.3292336,bd,2.00,16.945,16.727,0.179,0.782,0.128,V
2458318.65601,2018-07-19.1514166,bl,2.43,17.073,>17.073,99.990,0.446,0.108,g
2458318.65724,2018-07-19.1526449,bl,2.40,17.023,>17.023,99.990,0.166,0.113,g
2458318.65846,2018-07-19.1538631,bl,2.45,17.081,>17.081,99.990,0.336,0.107,g
2458318.87372,2018-07-19.3691174,bt,1.49,17.442,17.051,0.153,0.549,0.077,g
2458318.87494,2018-07-19.3703385,bt,1.51,17.543,17.154,0.153,0.499,0.070,g
2458318.87616,2018-07-19.3715636,bt,1.44,17.468,17.400,0.206,0.398,0.075,g
2458319.39419,2018-07-19.889575,bp,1.50,17.014,>17.014,99.990,0.373,0.114,g
2458319.39558,2018-07-19.8909635,bp,1.52,16.992,>16.992,99.990,0.502,0.116,g
2458319.39679,2018-07-19.8921696,bp,1.49,17.026,>17.026,99.990,0.455,0.112,g
2458320.39103,2018-07-20.8863856,bp,1.62,16.974,>16.974,99.990,0.410,0.118,g
2458320.39225,2018-07-20.8876033,bp,1.52,16.922,>16.922,99.990,0.610,0.124,g
2458320.39347,2018-07-20.8888120,bp,1.46,16.911,>16.911,99.990,0.226,0.125,g
2458320.87803,2018-07-21.3733586,bd,1.49,16.019,>16.019,99.990,0.476,0.300,V
2458320.87930,2018-07-21.3746384,bd,1.49,16.359,>16.359,99.990,0.718,0.220,V
2458320.88058,2018-07-21.3759140,bd,1.44,16.429,>16.429,99.990,0.613,0.206,V
2458321.05431,2018-07-21.5496484,bd,1.48,16.067,>16.067,99.990,0.861,0.287,V
2458321.05561,2018-07-21.5509388,bd,1.42,16.476,>16.476,99.990,0.724,0.197,V
2458321.05689,2018-07-21.5522140,bd,1.44,16.289,>16.289,99.990,1.096,0.234,V
2458321.38672,2018-07-21.8820317,bp,1.46,17.017,>17.017,99.990,0.501,0.113,g
2458321.38792,2018-07-21.8832366,bp,1.50,16.747,>16.747,99.990,0.637,0.145,g
2458321.38916,2018-07-21.8844774,bp,1.54,16.984,>16.984,99.990,0.138,0.117,g
2458321.91492,2018-07-22.4102216,bd,1.49,16.779,>16.779,99.990,0.333,0.149,V
2458321.91620,2018-07-22.4114974,bd,1.42,16.831,16.440,0.153,1.019,0.142,V
2458321.91747,2018-07-22.4127728,bd,1.42,16.722,>16.722,99.990,0.315,0.157,V
2458322.38813,2018-07-22.8834193,bp,1.57,16.570,>16.570,99.990,0.579,0.171,g
2458322.38934,2018-07-22.8846288,bp,1.56,16.705,>16.705,99.990,0.695,0.151,g
2458322.39057,2018-07-22.8858526,bp,1.59,16.656,>16.656,99.990,0.669,0.158,g
2458322.72052,2018-07-23.2157949,bt,1.51,16.585,>16.585,99.990,0.682,0.169,g
2458322.72174,2018-07-23.2170113,bt,1.48,16.731,>16.731,99.990,-0.115,0.147,g
2458322.72296,2018-07-23.2182274,bt,1.44,16.640,>16.640,99.990,0.653,0.160,g
2458322.90848,2018-07-23.4037528,bt,1.46,17.374,17.025,0.159,0.563,0.082,g
2458322.90971,2018-07-23.4049715,bt,1.47,17.412,17.194,0.179,0.481,0.079,g
2458322.91093,2018-07-23.4062018,bt,1.49,17.462,17.319,0.192,0.429,0.075,g
2458323.38473,2018-07-23.8799890,bp,1.60,16.465,>16.465,99.990,0.227,0.188,g
2458323.38609,2018-07-23.8813414,bp,1.57,16.598,>16.598,99.990,0.412,0.167,g
2458323.38752,2018-07-23.8827696,bp,1.53,16.499,>16.499,99.990,0.451,0.183,g
2458324.38266,2018-07-24.8778878,bp,1.61,16.338,>16.338,99.990,-0.059,0.212,g
2458325.38073,2018-07-25.8759315,bp,1.73,16.275,>16.275,99.990,-0.202,0.224,g
2458325.38195,2018-07-25.8771445,bp,1.69,16.059,>16.059,99.990,0.206,0.274,g
2458325.38315,2018-07-25.8783539,bp,1.52,16.144,>16.144,99.990,0.341,0.253,g
2458325.63287,2018-07-26.1280586,bl,1.61,15.750,>15.750,99.990,0.609,0.364,g
2458325.63409,2018-07-26.1292783,bl,1.62,15.770,>15.770,99.990,-0.646,0.357,g
2458325.63530,2018-07-26.1304976,bl,1.95,15.968,>15.968,99.990,0.016,0.298,g
2458325.86554,2018-07-26.3607212,bt,1.50,15.916,>15.916,99.990,0.354,0.312,g
2458325.86675,2018-07-26.3619332,bt,1.49,15.928,>15.928,99.990,0.636,0.309,g
2458325.86797,2018-07-26.3631587,bt,1.50,15.862,>15.862,99.990,0.595,0.328,g
2458326.89812,2018-07-27.3932892,bd,1.49,16.115,>16.115,99.990,1.018,0.275,V
2458326.89941,2018-07-27.3945716,bd,1.56,15.957,>15.957,99.990,0.724,0.318,V
2458326.90069,2018-07-27.3958545,bd,1.53,16.129,>16.129,99.990,0.347,0.271,V
2458327.38071,2018-07-27.8758535,bp,2.05,17.425,16.952,0.142,0.602,0.078,g
2458327.38191,2018-07-27.8770561,bp,2.03,17.720,17.290,0.147,0.441,0.059,g
2458327.38312,2018-07-27.8782622,bp,2.05,17.651,17.432,0.179,0.386,0.063,g
2458328.38244,2018-07-28.8775609,bp,2.02,16.030,>16.030,99.990,0.295,0.281,g
2458328.38364,2018-07-28.8787658,bp,2.04,15.870,>15.870,99.990,0.516,0.326,g
2458328.38485,2018-07-28.8799682,bp,1.94,16.028,>16.028,99.990,-0.309,0.282,g
2458329.82857,2018-07-30.3236598,bt,1.54,15.900,>15.900,99.990,-0.227,0.317,g
2458329.82980,2018-07-30.3248900,bt,1.49,15.808,>15.808,99.990,1.235,0.345,g
2458329.83102,2018-07-30.3261082,bt,1.60,15.803,>15.803,99.990,-0.709,0.347,g
2458330.45405,2018-07-30.9491263,bp,1.53,16.224,>16.224,99.990,0.524,0.235,g
2458330.45525,2018-07-30.9503343,bp,1.52,16.149,>16.149,99.990,0.728,0.252,g
2458330.45646,2018-07-30.9515413,bp,1.59,16.054,>16.054,99.990,-0.008,0.275,g
2458330.99392,2018-07-31.4889920,bd,1.46,15.821,>15.821,99.990,0.687,0.360,V
2458330.99521,2018-07-31.4902760,bd,1.54,15.382,>15.382,99.990,0.843,0.540,V
2458330.99649,2018-07-31.4915538,bd,1.58,15.402,>15.402,99.990,0.934,0.530,V
2458331.96294,2018-08-01.4579921,bd,1.39,99.990,99.990,99.990,99.990,99.990,V
2458331.96421,2018-08-01.4592611,bd,1.67,99.990,99.990,99.990,99.990,99.990,V
2458331.96549,2018-08-01.4605416,bd,1.43,99.990,99.990,99.990,99.990,99.990,V
2458332.49752,2018-08-01.9925672,bp,1.57,16.743,>16.743,99.990,0.379,0.146,g
2458332.49873,2018-08-01.9937699,bp,1.57,16.915,>16.915,99.990,0.589,0.124,g
2458332.49993,2018-08-01.9949789,bp,1.58,16.883,>16.883,99.990,0.433,0.128,g
2458333.39578,2018-08-02.8908057,bp,1.63,99.990,99.990,99.990,99.990,99.990,g
2458333.39699,2018-08-02.8920118,bp,1.64,17.397,17.265,0.194,0.451,0.080,g
2458333.39820,2018-08-02.893225,bp,1.60,17.280,>17.280,99.990,0.437,0.089,g
2458333.80369,2018-08-03.2987087,bt,1.50,16.423,>16.423,99.990,0.186,0.196,g
2458333.80490,2018-08-03.2999171,bt,1.47,16.189,>16.189,99.990,-0.033,0.243,g
2458333.80610,2018-08-03.3011238,bt,1.49,16.276,>16.276,99.990,0.964,0.224,g
2458334.40644,2018-08-03.9014511,bp,1.66,17.656,17.063,0.127,0.543,0.063,g
2458334.40766,2018-08-03.9026677,bp,1.69,17.751,17.343,0.150,0.420,0.058,g
2458334.40887,2018-08-03.9038833,bp,1.65,99.990,99.990,99.990,99.990,99.990,g
2458335.04084,2018-08-04.5358384,bd,1.79,15.112,>15.112,99.990,0.747,0.692,V
2458335.04211,2018-08-04.5371145,bd,1.71,15.003,>15.003,99.990,-0.359,0.765,V
2458335.04338,2018-08-04.5383902,bd,1.76,15.426,>15.426,99.990,1.144,0.518,V
2458335.64009,2018-08-05.1350851,bl,1.47,17.493,17.047,0.145,0.551,0.073,g
