HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458282.52382,2018-06-13.0226929,bi,1.71,17.382,15.686,0.046,1.931,0.081,g
2458282.84899,2018-06-13.3479046,ba,1.62,17.053,15.493,0.052,2.436,0.116,V
2458282.85029,2018-06-13.3491841,ba,1.64,17.024,15.424,0.050,2.596,0.119,V
2458282.85157,2018-06-13.3504597,ba,1.62,17.054,15.483,0.051,2.459,0.116,V
2458283.67955,2018-06-14.1785137,bq,1.62,17.311,15.670,0.048,1.958,0.086,g
2458283.68077,2018-06-14.1797350,bq,1.59,17.233,15.755,0.056,1.813,0.093,g
2458283.68199,2018-06-14.1809527,bq,1.61,17.222,15.705,0.054,1.895,0.094,g
2458285.60404,2018-06-16.1031826,bi,1.40,16.944,15.616,0.064,2.059,0.121,g
2458285.60527,2018-06-16.1044103,bi,1.39,17.063,15.780,0.067,1.771,0.109,g
2458285.60649,2018-06-16.1056274,bi,1.38,16.962,15.518,0.059,2.255,0.121,g
2458285.83601,2018-06-16.3351765,ba,1.65,17.008,15.585,0.059,2.240,0.121,V
2458285.83729,2018-06-16.3364456,ba,1.66,16.978,15.488,0.055,2.448,0.124,V
2458285.83856,2018-06-16.3377216,ba,1.64,16.945,15.339,0.050,2.807,0.128,V
2458286.59652,2018-06-17.0957512,bi,1.37,17.234,15.666,0.052,1.966,0.093,g
2458286.59773,2018-06-17.0969642,bi,1.37,17.257,15.710,0.053,1.888,0.091,g
2458286.59896,2018-06-17.0981913,bi,1.39,17.275,15.709,0.052,1.890,0.090,g
2458287.55949,2018-06-18.0588130,bi,1.37,17.262,15.754,0.054,1.812,0.091,g
2458287.56071,2018-06-18.0600271,bi,1.41,17.266,15.724,0.053,1.865,0.090,g
2458287.56192,2018-06-18.0612438,bi,1.37,17.313,15.787,0.054,1.759,0.086,g
2458288.56713,2018-06-19.0665398,bi,1.42,16.906,15.680,0.071,1.941,0.126,g
2458288.56835,2018-06-19.0677572,bi,1.40,17.053,15.732,0.065,1.851,0.110,g
2458288.56957,2018-06-19.0689758,bi,1.44,17.003,15.711,0.066,1.888,0.115,g
2458292.32184,2018-06-22.8215871,bm,1.56,16.495,15.617,0.098,2.058,0.183,g
2458292.32316,2018-06-22.8229089,bm,1.55,16.466,15.723,0.111,1.865,0.188,g
2458292.32458,2018-06-22.8243282,bm,1.54,16.466,15.703,0.109,1.900,0.188,g
2458292.78329,2018-06-23.2830855,ba,2.03,16.286,15.522,0.108,2.370,0.235,V
2458292.78457,2018-06-23.2843627,ba,2.09,16.351,15.765,0.128,1.896,0.221,V
2458292.78585,2018-06-23.2856386,ba,2.01,16.285,15.499,0.106,2.423,0.235,V
2458293.54462,2018-06-24.0444847,bi,1.74,16.404,15.703,0.115,1.900,0.199,g
2458293.54584,2018-06-24.0457001,bi,1.70,16.317,15.832,0.140,1.688,0.216,g
2458293.54706,2018-06-24.0469219,bi,1.75,16.195,15.546,0.121,2.195,0.242,g
2458294.69579,2018-06-25.1957576,bq,1.69,16.096,15.446,0.120,2.409,0.265,g
2458294.69700,2018-06-25.1969662,bq,1.69,16.150,15.712,0.146,1.885,0.252,g
2458294.69823,2018-06-25.1981949,bq,1.71,16.038,15.700,0.160,1.907,0.279,g
2458295.57470,2018-06-26.0747460,bi,1.46,16.217,15.670,0.132,1.959,0.237,g
