HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458815.64822,2019-11-28.1501614,bF,1.64,17.475,>17.475,99.990,-0.082,0.074,g
2458816.60898,2019-11-29.1109817,bE,1.43,17.185,>17.185,99.990,-0.064,0.097,g
2458816.61024,2019-11-29.1122407,bE,1.43,17.156,>17.156,99.990,0.160,0.100,g
2458816.61153,2019-11-29.1135226,bE,1.46,17.201,>17.201,99.990,-0.194,0.096,g
2458816.64639,2019-11-29.1483898,bF,1.49,17.498,>17.498,99.990,0.017,0.073,g
2458816.64767,2019-11-29.1496745,bF,1.54,17.469,>17.469,99.990,0.058,0.075,g
2458816.64894,2019-11-29.1509399,bF,1.58,17.474,>17.474,99.990,0.034,0.074,g
2458817.34927,2019-11-29.8513129,bm,1.53,17.387,>17.387,99.990,0.004,0.081,g
2458817.35055,2019-11-29.8526017,bm,1.51,17.267,>17.267,99.990,-0.079,0.090,g
2458817.35179,2019-11-29.8538454,bm,1.53,17.291,>17.291,99.990,-0.014,0.088,g
2458817.60592,2019-11-30.1079829,bE,1.42,17.055,>17.055,99.990,-0.130,0.109,g
2458817.60719,2019-11-30.1092480,bE,1.47,17.102,>17.102,99.990,-0.001,0.105,g
2458817.60845,2019-11-30.1105113,bE,1.46,17.090,>17.090,99.990,0.191,0.106,g
2458817.64295,2019-11-30.1450082,bF,1.70,17.465,>17.465,99.990,-0.090,0.075,g
2458817.64423,2019-11-30.1462839,bF,1.57,17.425,>17.425,99.990,0.059,0.078,g
2458817.64549,2019-11-30.1475503,bF,1.54,17.434,>17.434,99.990,-0.011,0.077,g
2458818.28799,2019-11-30.7900865,bm,1.48,17.264,>17.264,99.990,0.132,0.090,g
2458818.28920,2019-11-30.7912953,bm,1.43,17.306,>17.306,99.990,0.101,0.087,g
2458819.59874,2019-12-02.1009171,bE,1.49,16.920,>16.920,99.990,-0.094,0.124,g
2458819.60001,2019-12-02.1021876,bE,1.51,16.891,>16.891,99.990,0.085,0.127,g
2458819.60129,2019-12-02.1034597,bE,1.47,16.959,>16.959,99.990,-0.221,0.120,g
2458819.63431,2019-12-02.1364888,bF,1.56,17.055,>17.055,99.990,0.196,0.109,g
2458819.63560,2019-12-02.1377854,bF,1.62,17.068,>17.068,99.990,0.012,0.108,g
2458819.63688,2019-12-02.1390604,bF,1.66,17.127,>17.127,99.990,-0.124,0.102,g
2458820.63187,2019-12-03.1341106,bF,1.62,16.905,>16.905,99.990,0.266,0.126,g
2458820.63314,2019-12-03.1353790,bF,1.59,17.208,>17.208,99.990,-0.007,0.095,g
2458820.63442,2019-12-03.1366538,bF,1.61,16.997,>16.997,99.990,-0.111,0.115,g
2458822.56894,2019-12-05.0712922,bE,1.46,16.741,>16.741,99.990,-0.100,0.146,g
2458822.57022,2019-12-05.0725668,bE,1.44,16.801,>16.801,99.990,-0.061,0.138,g
2458822.57149,2019-12-05.0738356,bE,1.45,16.795,>16.795,99.990,-0.083,0.139,g
2458822.61598,2019-12-05.1183293,bF,1.56,16.711,>16.711,99.990,0.054,0.150,g
2458822.61726,2019-12-05.1196081,bF,1.58,16.765,>16.765,99.990,0.416,0.143,g
2458822.61853,2019-12-05.1208759,bF,1.62,16.696,>16.696,99.990,0.015,0.152,g
2458823.30621,2019-12-05.8085996,bm,1.48,16.561,>16.561,99.990,-0.051,0.172,g
2458823.30744,2019-12-05.8098304,bm,1.53,16.754,>16.754,99.990,-0.010,0.144,g
2458823.30864,2019-12-05.8110353,bm,1.51,16.607,>16.607,99.990,0.079,0.165,g
2458823.35971,2019-12-05.8620982,bn,1.48,16.764,>16.764,99.990,0.009,0.143,g
2458823.36092,2019-12-05.8633160,bn,1.49,16.603,>16.603,99.990,0.224,0.166,g
2458823.58644,2019-12-06.0888425,bE,1.47,16.687,>16.687,99.990,-0.266,0.154,g
2458823.58772,2019-12-06.0901262,bE,1.49,16.539,>16.539,99.990,-0.103,0.176,g
2458823.58900,2019-12-06.0914002,bE,1.46,16.737,>16.737,99.990,0.552,0.147,g
2458823.62404,2019-12-06.1264493,bF,1.58,16.615,>16.615,99.990,0.208,0.164,g
2458823.62532,2019-12-06.1277234,bF,1.55,16.655,>16.655,99.990,0.030,0.158,g
2458823.62660,2019-12-06.1290125,bF,1.58,16.609,>16.609,99.990,-0.036,0.165,g
2458824.30359,2019-12-06.8060431,bm,1.55,16.480,>16.480,99.990,-0.132,0.186,g
2458824.30481,2019-12-06.8072613,bm,1.52,16.592,>16.592,99.990,0.061,0.168,g
2458824.30613,2019-12-06.8085768,bm,1.51,16.461,>16.461,99.990,0.166,0.189,g
2458824.33601,2019-12-06.8384629,bn,1.49,16.538,>16.538,99.990,0.221,0.176,g
2458824.33723,2019-12-06.8396817,bn,1.50,16.710,>16.710,99.990,-0.039,0.150,g
2458824.33845,2019-12-06.8408988,bn,1.45,16.769,>16.769,99.990,0.327,0.142,g
2458824.62463,2019-12-07.1270914,bF,1.59,16.577,>16.577,99.990,0.303,0.170,g
2458824.62589,2019-12-07.1283567,bF,1.58,16.661,>16.661,99.990,-0.282,0.157,g
2458825.36296,2019-12-07.8654614,bn,1.54,16.390,>16.390,99.990,-0.049,0.202,g
2458825.36417,2019-12-07.8666788,bn,1.53,16.444,>16.444,99.990,-0.164,0.192,g
2458825.36539,2019-12-07.8678923,bn,1.49,16.419,>16.419,99.990,-0.018,0.197,g
2458825.61620,2019-12-08.1187125,bF,1.51,16.654,>16.654,99.990,-0.027,0.158,g
2458825.61747,2019-12-08.1199891,bF,1.52,16.549,>16.549,99.990,-0.375,0.174,g
