# UVOT photometry at full time resolution, using 5.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVW1   57325.337265    18.43     0.06    1.626    0.081    407.122 
UVW1   57328.526574    18.22     0.06    1.977    0.088    456.020 
UVW1   57330.182634    18.38     0.06    1.713    0.075    591.615 
UVW1   57331.054475    18.28     0.06    1.878    0.094    378.476 
UVW1   57334.579456    18.27     0.06    1.895    0.095    355.922 
UVW1   57343.433373    18.37     0.06    1.730    0.082    414.908 
UVW1   57346.187390    18.46     0.05    1.589    0.066    641.023 
UVW1   57349.215069    18.32     0.06    1.796    0.091    349.928 
UVW1   57353.563863    18.36     0.07    1.734    0.105    252.513 
UVW1   57356.227212    18.42     0.06    1.651    0.084    386.349 
UVW1   57359.315494    18.50     0.07    1.533    0.082    370.604 
UVW1   57362.838274    18.41     0.07    1.660    0.096    294.580 
UVW1   57365.097020    18.60     0.07    1.398    0.080    365.695 
UVW1   57366.391388    18.52     0.07    1.497    0.084    373.210 
UVW1   57368.951320    18.44     0.07    1.615    0.091    328.276 
UVW1   57371.411413    18.63     0.07    1.366    0.075    461.134 
UVW1   57374.402717    18.63     0.07    1.366    0.079    387.326 
UVW1   57377.192976    18.71     0.08    1.260    0.083    422.770 
UVW1   57380.918511    18.70     0.07    1.272    0.076    401.117 
UVW1   57383.281189    18.74     0.09    1.232    0.092    264.295 
UVW1   57385.869842    18.63     0.16    1.357    0.189     66.695 
UVW1   57393.661040    18.75     0.07    1.221    0.066    545.095 
UVW1   57396.749772    18.78     0.07    1.191    0.069    495.590 
UVW1   57399.246762    18.84     0.07    1.127    0.067    499.314 
UVW1   57427.743171    19.06     0.08    0.922    0.059    504.233 
UVW1   57429.646363    19.37     0.12    0.699    0.070    291.681 
UVW1   57433.504089    19.39     0.11    0.684    0.066    361.276 
UVW1   57437.317551    19.27     0.09    0.764    0.060    428.460 
UVW1   57447.406981    19.38     0.10    0.691    0.061    595.079 
UVW1   57449.929326    19.26     0.15    0.772    0.104    285.959 
UVW1   57450.161211    19.49     0.17    0.624    0.094    152.318 
UVW1   57454.214203    19.36     0.09    0.706    0.057    483.341 
UVW1   57456.075631    19.38     0.09    0.694    0.051    542.609 
UVW1   57457.639665    19.48     0.12    0.629    0.066    274.166 
UVW1   57465.555502    19.62     0.09    0.559    0.043    644.357 
UVW1   57470.336125    19.47     0.08    0.637    0.040    788.465 
UVW1   57472.256671    19.40     0.15    0.678    0.088    149.614 
UVW1   57475.675508    19.45     0.08    0.649    0.040    722.704 
UVW1   57477.547081    19.69     0.13    0.523    0.059    294.342 
UVW1   57480.298719    19.65     0.09    0.541    0.040    670.451 
UVW1   57487.477992    19.45     0.13    0.652    0.075    211.151 
UVW1   57489.035122    19.88     0.15    0.442    0.057    248.788 
UVW1   57499.783581    20.03     0.22    0.389    0.075    188.000 
UVW1   57502.703737    19.76     0.13    0.490    0.054    379.410 
UVW1   57505.393413    19.68     0.11    0.528    0.049    456.009 
UVW1   57508.952870    19.67     0.10    0.535    0.043    561.557 
UVW1   57511.879260    19.75     0.10    0.495    0.041    580.246 
UVW1   57515.923831    19.74     0.10    0.499    0.040    540.882 
UVW1   57516.833778    19.71     0.11    0.515    0.049    452.578 
UVW1   57520.617534    19.72     0.13    0.511    0.059    278.086 
UVW1   57523.762329    19.80     0.10    0.474    0.041    487.500 
UVW1   57527.958350    19.80     0.15    0.473    0.060    243.609 
UVW1   57528.923412    20.14     0.28    0.351    0.084    116.907 
UVW1   57533.604307    19.87     0.21    0.448    0.081    120.595 
UVW1   57552.749619    20.07     0.14    0.376    0.043    403.800 
UVW1   57554.874342    20.18     0.13    0.339    0.037    502.991 
